name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Grand Rapids, Michigan",2024-08-14,83,58.9,71.1,82.7,58.9,71.1,59.1,69.3,0,0,0,,0,0,11.2,7.6,125.5,1020.9,29.9,9.7,188.8,16.4,8,,2024-08-14T06:48:13,2024-08-14T20:45:38,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,KBIV,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2024-08-15,77.7,61.2,68.4,77.7,61.2,68.4,61.3,79,0.18,100,37.5,rain,0,0,23,15.2,139.3,1017.4,73.7,9.2,70.4,6.3,3,,2024-08-15T06:49:18,2024-08-15T20:44:08,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2024-08-16,81.9,66,72,84.7,66,72.6,66.2,83.5,0.375,100,37.5,rain,0,0,35.6,11.3,176.6,1010,86.2,9,125.3,10.9,9,,2024-08-16T06:50:23,2024-08-16T20:42:38,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2024-08-17,78.5,67,71.3,78.5,67,71.3,66,84,0.311,100,41.67,rain,0,0,26.4,16.3,271.1,1006.8,86.6,9.3,136.6,11.9,8,,2024-08-17T06:51:28,2024-08-17T20:41:06,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72635094860,KY70,KBIV,72539404839,E7706,MISTN,KGRR"
"Grand Rapids, Michigan",2024-08-18,75.5,66.9,70.6,75.5,66.9,70.6,64.6,81.8,0.089,100,20.83,rain,0,0,26.4,14.2,330.9,1010.9,84.6,9.6,93.1,8,9,,2024-08-18T06:52:34,2024-08-18T20:39:34,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72635094860,KY70,KBIV,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2025-08-13,83.7,69.2,75.8,84.4,69.2,76,65.2,72.6,0,0,0,,0,0,15.9,11.2,307.9,1012.9,71.6,8.6,145.7,12.6,9,,2025-08-13T06:46:53,2025-08-13T20:47:28,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,USW00094860,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2025-08-14,82.1,64.1,72.8,83.6,64.1,73.3,62.6,71.5,0,0,0,,0,0,15.7,10.2,67.7,1016.7,55.9,9.9,129.7,11.3,9,,2025-08-14T06:47:58,2025-08-14T20:46:00,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,USW00094860,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2025-08-15,87.9,64.2,75.8,88,64.2,75.9,62.4,66.4,0,0,0,,0,0,14.8,9,147.7,1019.2,36.7,9.8,185.7,16.1,8,,2025-08-15T06:49:03,2025-08-15T20:44:31,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,USW00094860,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2025-08-16,89.6,69.2,78,97.2,69.2,79.8,69,75,0,0,0,,0,0,35.6,20.1,170.5,1017.4,65.3,9.9,106.7,9.2,7,,2025-08-16T06:50:08,2025-08-16T20:43:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,USW00094860,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2025-08-17,83.8,66,76.1,84.8,66,76.5,65.9,72.2,0,0,0,,0,0,21.5,15.9,33.3,1017.6,78.7,9.9,106,9.3,7,,2025-08-17T06:51:13,2025-08-17T20:41:29,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72635094860,KY70,USW00094860,72539404839,E7706,KGRR"
"Grand Rapids, Michigan",2025-08-18,82.4,59,69.6,82.8,59,69.7,58,68.2,0.128,100,12.5,rain,0,0,23,14.7,103.7,1019.7,69.9,9.8,127.9,11,8,,2025-08-18T06:52:19,2025-08-18T20:39:57,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72635094860,KY70,KBIV,USW00094860,72539404839,E7706,KGRR"
